accelX (mg),accelY (mg),accelZ (mg),gyroX (mdps),gyroY (mdps),gyroZ (mdps),pressure (mbar x100),temp (x100),time HHMMSSms ,lat (deg),lat (min),long (deg),long (min),alt (m x10),,
0,0,0,0,0,0,93287,940,22325880,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-63,966,5,-218,1111,630,93298,939,22325900,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-62,968,5,-236,1190,665,93295,940,22325920,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-63,969,4,-437,1128,551,93286,941,22325960,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-67,967,8,-350,1251,761,93287,942,22325980,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-60,966,3,-332,1190,761,93295,942,22330000,0,0,0,0,0,,
,,,,,,,,,,,,,,,
-64,971,8,-367,1198,691,93279,942,22330021,53,624374,-111,-4223849,7067,,
,,,,,,,,,,,,,,,
-64,966,3,-323,1225,647,93290,943,22330060,53,624347,-111,-4223932,7060,,
,,,,,,,,,,,,,,,
-62,968,7,-332,1260,778,93284,944,22330080,53,624358,-111,-4223931,7057,,
,,,,,,,,,,,,,,,
-63,965,5,-402,1207,656,93295,943,22330100,53,624361,-111,-4223943,7049,,
,,,,,,,,,,,,,,,
-60,969,3,-323,1242,735,93282,945,22330120,53,624367,-111,-4223938,7044,,
,,,,,,,,,,,,,,,
-62,968,5,-367,1198,673,93295,946,22330160,53,624380,-111,-4223942,7041,,
,,,,,,,,,,,,,,,
-64,969,5,-315,1181,665,93291,946,22330180,53,624380,-111,-4223943,7041,,
,,,,,,,,,,,,,,,
-60,969,6,-507,1102,726,93293,946,22330200,53,624384,-111,-4223947,7041,,
,,,,,,,,,,,,,,,
-60,966,4,-350,1190,708,93290,947,22330220,53,624384,-111,-4223946,7041,,
,,,,,,,,,,,,,,,
-62,966,8,-455,1207,612,93304,948,22330260,53,624380,-111,-4223944,7041,,
,,,,,,,,,,,,,,,
-62,969,5,-358,1181,682,93280,948,22330280,53,624380,-111,-4223947,7040,,
,,,,,,,,,,,,,,,
-65,967,7,-350,1303,603,93292,948,22330300,53,624379,-111,-4223944,7040,,
,,,,,,,,,,,,,,,
-64,969,2,-437,1286,700,93290,950,22330320,53,624379,-111,-4223948,7040,,
,,,,,,,,,,,,,,,
-58,964,7,-306,1260,630,93292,951,22330360,53,624380,-111,-4223949,7040,,
,,,,,,,,,,,,,,,
-64,966,5,-411,1198,612,93294,952,22330380,53,624383,-111,-4223949,7040,,
,,,,,,,,,,,,,,,
-63,967,5,-306,980,630,93290,952,22330400,53,624383,-111,-4223951,7041,,
,,,,,,,,,,,,,,,
-62,965,6,-437,1286,673,93297,953,22330420,53,624383,-111,-4223951,7041,,
,,,,,,,,,,,,,,,
-60,967,4,-411,1303,647,93287,953,22330460,53,624384,-111,-4223954,7041,,
,,,,,,,,,,,,,,,
-63,971,8,-280,1155,673,93288,955,22330480,53,624381,-111,-4223955,7041,,
,,,,,,,,,,,,,,,
-65,966,0,-455,1321,638,93282,954,22330500,53,624381,-111,-4223955,7041,,
,,,,,,,,,,,,,,,
-62,966,10,-472,1268,778,93293,955,22330520,53,624380,-111,-4223955,7040,,
,,,,,,,,,,,,,,,
-59,969,6,-516,1373,735,93295,956,22330560,53,624379,-111,-4223961,7040,,
,,,,,,,,,,,,,,,
-63,966,7,-358,1102,603,93280,957,22330580,53,624377,-111,-4223964,7040,,
,,,,,,,,,,,,,,,
-60,968,4,-463,1032,770,93283,956,22330600,53,624377,-111,-4223969,7040,,
,,,,,,,,,,,,,,,
-63,967,4,-218,1190,638,93292,957,22330620,53,624379,-111,-4223970,7040,,
,,,,,,,,,,,,,,,
